J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -A -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.22, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -A -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.23, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.2, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -A -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.21, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.24, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.01, timeTakenToTestModelOnTrainingData=0.2, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -A -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.26, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.27, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -J -A -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.01, timeTakenToTestModelOnTrainingData=0.23, timeTakenToPerformCrossValidation=0.02, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -J -A -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.26, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -J -S -N 3 -M 5 -Q 1 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.29, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
