0: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=13.05, timeTakenToTestModelOnTrainingData=158.03, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
4: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.79, timeTakenToTestModelOnTrainingData=159.57, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
3: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.32, timeTakenToTestModelOnTrainingData=160.32, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
8: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.44, timeTakenToTestModelOnTrainingData=161.9, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
2: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.6, timeTakenToTestModelOnTrainingData=161.77, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
7: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=11.7, timeTakenToTestModelOnTrainingData=163.82, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
5: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=11.01, timeTakenToTestModelOnTrainingData=164.92, timeTakenToPerformCrossValidation=0.11, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
6: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.86, timeTakenToTestModelOnTrainingData=166.09, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
1: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 300 -M 0.1 -L 0.1 ', timeTakenToBuildModel=12.73, timeTakenToTestModelOnTrainingData=166.73, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
10: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 500 -M 0.1 -L 0.1 ', timeTakenToBuildModel=23.29, timeTakenToTestModelOnTrainingData=275.24, timeTakenToPerformCrossValidation=0.13, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
9: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 500 -M 0.1 -L 0.1 ', timeTakenToBuildModel=22.08, timeTakenToTestModelOnTrainingData=281.28, timeTakenToPerformCrossValidation=0.14, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
