title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 300 -C 0.001 -S 2 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=16.65, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 300 -C 0.001 -S 3 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=15.29, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 300 -C 0.001 -S 1 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.57, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 300 -C 0.001 -S 2 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.74, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 300 -C 0.001 -S 4 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.89, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 300 -C 0.001 -S 4 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.79, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 300 -C 0.001 -S 3 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=15.54, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 300 -C 0.001 -S 3 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=16.24, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 300 -C 0.001 -S 4 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=16.27, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=28.63, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 300 -C 0.001 -S 4 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.11, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 300 -C 0.001 -S 2 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.51, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 300 -C 0.001 -S 1 ', timeTakenToBuildModel=0.04, timeTakenToTestModelOnTrainingData=14.76, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
